from_,to_
A2,A1
A1,A10
A1,A11
A1,A4
A1,A7
A1,A12
A1,A8
A9,A1
A19,A2
A10,A21
A3,A20
A6,A21
A11,A21
A4,A21
A7,A21
A12,A23
A13,A23
A14,A23
A22,A8
A9,A22
A13,A14
A12,A13
A5,A11
A5,A6
A10,A3
A22,A21
